fid,treatment,value,value/m2,area
1,HNV,1087.7685013401501,1.0727666858059526,1552.791634669462
2,ROZ,1294.782707686528,0.3706987105127849,4421.554920267439
3,MOG,1756.3656305585719,0.7272517312722669,2408.0577654751396
4,ROZ,1106.6021177990824,0.49513911807705485,3175.8958395477785
5,MOG,1034.694784968838,0.3355891627463248,4621.094626097645
6,MOG,1309.500921123746,0.3933945988408712,3306.835055027859
7,MOG,1411.532292209806,0.314413774026253,6232.024785233217
8,ROZ,1789.4365356717822,0.4421111772037704,3132.1115936485876
9,ROZ,1570.5021026836457,0.34189688461716794,5289.70922204437
10,ROZ,1357.525166128996,0.22024342010385822,8586.126853982903
11,EJF,1489.3263240620295,0.4468224017568373,4311.45416598946
12,ROZ,1970.2769480161512,0.1896163734485368,6065.924039353544
13,ROZ,1661.0345544056422,0.23760824273324213,7494.176838686399
14,IIE,1880.07146311337,0.6021028918958821,2225.219371340918
15,IIE,1172.222785029626,1.2375310011029526,1217.9871822506157
16,MOG,1807.6568656594036,0.8094458524004798,1504.0741964763183
17,IIE,1700.0295922776327,0.5132388295877918,2174.75151194548
18,MOG,1315.6940809065209,0.5061414061632524,2861.8898270782665
19,MOG,1903.836342351247,0.832588972350937,1740.521843857554
20,EJF,1469.1241020464952,0.36915639243171333,4152.993151650484
21,ROZ,1524.0113496284214,0.22850867404340103,5451.323445657592
22,HNV,1149.6499294574962,0.24662696837763906,5047.535656004562
23,HNV,1129.8643320381698,0.5588414617850066,2285.0933328567517
