fid,treatment,value,value/m2,area
1,UGM,1259.2121327916027,2.3460268754528736e-07,4317085934.769646
2,WLV,1097.267932499534,6.426450313512576e-07,1997188759.2183533
3,NHA,1537.4638270562923,7.176999175370564e-07,1528940994.215805
4,JRC,1290.9235121757724,3.5293578101185976e-07,4773609143.840172
5,NHA,1625.278201119138,4.0121778171479277e-07,2815172285.065628
6,WLV,1841.0016451676315,4.127239072076827e-07,2952514333.8220673
7,NHA,1992.094057981698,4.270760178443629e-07,4405475831.997322
8,TQK,1794.2240336347,4.086912862408731e-07,3086784811.968796
9,JRC,1381.4567169853922,1.6810734689634702e-07,6404801507.322006
10,NHA,1816.4968684498194,4.7273864642693335e-07,3310567774.730217
11,JRC,1199.1752415932963,2.2399139049839895e-07,4728814991.183319
12,WLV,1040.7142704403016,1.459395345843136e-07,8600630339.914108
13,TQK,1201.8988897463043,2.7203984771182327e-07,3769743639.843994
14,JRC,1734.2678144647912,2.0084008629970242e-07,5944326506.12616
15,WLV,1330.0174498673941,2.4175411264255723e-07,7713310107.310287
16,UGM,1876.4185784050637,6.94112766530082e-07,1899885656.3506393
17,WLV,1643.4766995793682,1.336813350139527e-06,1286618262.4406948
18,NHA,1396.2118850806,8.156425277486885e-07,1292323257.9863892
19,TQK,1394.0732398743412,9.012443705169136e-07,2178390366.584076
20,TQK,1794.3814230360256,3.6252524967889387e-07,2812079010.750107
21,UGM,1950.068635980926,7.996552006840751e-07,1476107678.5775757
22,WLV,1410.349103443567,4.186884478532239e-07,4305552387.9561615
23,NHA,1962.844330916218,2.1647784338341534e-07,4945746872.543461
