fid,treatment,value,value/m2,cost,cost/m2
1,WLV,1126.9630311456378,2.7229130175072484e-07,128.60180773751452,2.502962125465291e-08
1,JRC,1947.9871661751376,4.06269698520094e-07,170.18669207683337,4.0871481809368516e-08
1,NHA,1306.55925497286,3.607601327846248e-07,142.81284038850902,3.2227777328814664e-08
2,JRC,1234.9689744817927,6.059451523651564e-07,174.10734780307226,7.420583813673946e-08
2,NHA,1903.5885215144556,7.881065293148924e-07,192.26294118734336,6.907262372847389e-08
2,TQK,1370.0895749840897,7.901736710567045e-07,131.2455676118367,9.656537352654175e-08
3,UGM,1731.9559029855968,9.063988037876678e-07,110.52117332251164,7.79546397920646e-08
4,NHA,1190.9106448394673,4.10909684429352e-07,163.46183962663176,3.402509801627053e-08
4,TQK,1282.8626635251403,3.148474581416788e-07,149.39041520006197,4.153563210827738e-08
4,WLV,1694.6465179245272,3.099980400016598e-07,166.81476353915014,3.7752650098214345e-08
5,TQK,1511.4244707959836,4.473270121660922e-07,104.660654636763,4.929134088479062e-08
5,WLV,1045.961398171614,4.4262744869745296e-07,118.85150804711334,4.072509498907873e-08
5,UGM,1697.5884380542889,3.786669092929256e-07,171.48641361143638,4.32551716245968e-08
6,NHA,1546.0582422575292,5.191135409406088e-07,177.5121610634915,3.478312793956273e-08
6,TQK,1843.769433213024,6.14142821269485e-07,177.33825890096568,5.949995365629813e-08
7,JRC,1975.2234564146133,2.8752647354033243e-07,189.85171930561214,3.0557106825692e-08
8,NHA,1664.0172453099078,6.294097137163002e-07,156.2820521151877,6.366035648355704e-08
9,UGM,1654.6175865932216,1.9618953770382416e-07,130.47020304089642,2.3876517561993626e-08
9,WLV,1890.104284516216,2.4690234510114913e-07,161.69329501307493,2.782525200774252e-08
10,JRC,1947.014482549518,3.4676793439816e-07,170.28015034637292,3.7494942474231096e-08
10,WLV,1464.3511729751276,5.066987753031622e-07,192.50845428238006,5.316852503179168e-08
11,UGM,1494.6833287614822,3.804639922210306e-07,181.29387733520662,2.7542796564720683e-08
12,JRC,1063.0046013494552,1.5504367629257287e-07,143.9953528905005,1.5224195445960518e-08
12,TQK,1719.132814867896,1.4437714998928743e-07,168.97204336568072,1.5052953825610588e-08
12,UGM,1355.107657704706,1.6883096610176166e-07,152.12700064998126,1.2153112822011128e-08
13,UGM,1559.5554814242366,3.13750839650486e-07,105.19460655939467,4.442541999377998e-08
13,NHA,1156.8707482294249,4.4383111997206407e-07,139.02745615054513,4.1440661243819276e-08
13,WLV,1526.1935289226242,3.292675586425135e-07,152.49930147476823,3.414837945289316e-08
14,UGM,1906.6104591285007,3.166268944245612e-07,136.63774677575555,2.4875033408158492e-08
14,TQK,1462.6305496329799,2.5711095131163873e-07,172.01508149562727,1.7197512279266666e-08
14,WLV,1767.9110393191854,1.702211461991119e-07,159.42150351392513,2.764483348033908e-08
15,UGM,1004.0113537734219,2.250463949743036e-07,103.17072424566963,1.7929474386385362e-08
15,NHA,1212.4867257338512,2.4497016159315944e-07,189.65383095288715,1.7070374616201223e-08
16,TQK,1994.8784742091493,5.829124730434047e-07,147.37454691286305,9.08720480295064e-08
16,NHA,1984.5541008242303,8.412941519770748e-07,128.46510166498214,8.673625844292065e-08
17,JRC,1387.7246987025364,1.0484543054123163e-06,114.52730582206499,1.3047343380391435e-07
18,WLV,1762.2298478720309,1.2135355974337575e-06,141.95148619545455,9.007903690238665e-08
18,UGM,1690.8246692013402,1.3053162204434918e-06,156.02674397087736,1.387739609590631e-07
18,JRC,1371.9317218095357,7.750158842881807e-07,129.83108254912642,1.529849860603819e-07
19,NHA,1192.0154850175063,5.277832339037629e-07,120.02713308783741,4.6367847202819706e-08
19,JRC,1927.8150246672942,6.561492045004871e-07,159.9231086796692,7.626487511926167e-08
19,UGM,1111.5425794474625,8.051398041936922e-07,170.1962978951826,8.509135587567339e-08
20,WLV,1288.6745699165508,6.156361038373672e-07,180.67436997697396,6.208226620462357e-08
20,JRC,1882.222770308355,5.126741572147258e-07,104.35892609902406,4.859500961568434e-08
20,NHA,1138.0353048771606,3.861675813780931e-07,170.9243758050892,3.957981917503388e-08
21,NHA,1745.5684336070026,8.695232329278863e-07,134.31511725460493,1.256830920925024e-07
22,TQK,1780.0786515097234,3.7753836202987736e-07,194.7948413175547,4.5309483812415145e-08
23,TQK,1194.0488657845667,3.9829310686773204e-07,125.80461253782255,3.7411544557268433e-08
23,WLV,1272.4836099165998,3.0309347096662223e-07,103.4501540495876,2.143679457372551e-08
