fid,treatment,value,value/m2,cost,cost/m2
1,IIE,1144.5630103464605,1.2706997566722258,167.76880226315143,0.09936041135720128
2,IIE,1483.4153265778623,0.35712518848860814,126.90134041744453,0.044681119992625994
2,HNV,1897.5263064390833,0.4060911341086691,122.43868600305336,0.022690075311409014
2,EJF,1869.876628885615,0.2664184687427143,151.26272452344625,0.026265717539085912
3,HNV,1779.7973376288992,0.6736985528091536,151.24399030261586,0.04236650365862796
3,ROZ,1371.464749615433,0.7150532078291929,102.89270594522036,0.05524227976569854
4,HNV,1975.9414380892636,0.6186504753137971,195.4971386372081,0.046295666557945966
5,EJF,1292.266143330522,0.256063273283008,103.41730134723551,0.02696683426438712
5,ROZ,1109.1847339836434,0.22729801516624565,101.85493541885342,0.037022887654552465
6,ROZ,1597.002292172146,0.5902790077734369,117.63222352029024,0.05539642828077379
7,ROZ,1867.6096853775234,0.1861363666330828,179.4455878449337,0.027085072822683704
7,IIE,1976.3715739733243,0.2926042311292021,173.44461976636904,0.025997015870340298
8,MOG,1881.3118040362815,0.41158092018172215,175.54511040770265,0.05975747114653305
8,IIE,1225.6918405771191,0.3724154406168473,189.8457501231,0.06062526381382617
8,HNV,1319.1186860902667,0.4007740248754118,172.57295083141673,0.03595504987777591
9,EJF,1859.9497856359153,0.27216853400100854,170.43021900605413,0.03529126570472359
9,HNV,1888.4356641227255,0.31225657894226916,166.4632698688821,0.027636755092861776
10,MOG,1022.9056049745126,0.18788317919929912,149.58684314708,0.020839298537489257
10,HNV,1636.3796468169448,0.1406204767503571,132.27543576466178,0.014638133198284099
10,IIE,1474.7897391292172,0.1648906898114,156.69324798995916,0.02008684530709052
11,ROZ,1952.2813869968277,0.23639523828082376,149.82846670013868,0.04119318953738974
12,IIE,1602.318845189328,0.31714160126189384,178.4577715068473,0.02858847090551534
12,MOG,1444.914734609551,0.1826314909156092,130.3094897253806,0.03217317653299417
13,IIE,1687.753744866336,0.13428382163206656,113.55303064508266,0.020514590130692397
13,HNV,1637.1614780854811,0.26074034408480223,176.7781829842218,0.016481402315891392
13,MOG,1865.5977550216362,0.18464975965649283,159.56655829013377,0.013776778424085503
14,HNV,1056.0157608562188,0.7734758482647389,178.4303250917659,0.05909545295254765
15,HNV,1173.530125570494,1.0182372232615626,185.7521934667002,0.1403284416132999
15,MOG,1411.9837297077959,0.9578671576168876,175.37530902414719,0.13984447702781438
15,EJF,1467.434223765647,1.1074018649613995,143.66765926715084,0.10690337600594164
16,IIE,1271.6088818345318,1.0306533293127882,152.7814981632928,0.11007514369993217
16,EJF,1688.472681514915,0.9342828809542488,184.77885747769994,0.11386589006450652
17,MOG,1124.3117682147908,0.8014339350388696,150.97976189275727,0.07976038731575373
18,HNV,1137.3708380256564,0.6776478603136294,104.37505434471781,0.06105389751802963
19,IIE,1955.6167088889943,0.6297207104516304,144.79317689381344,0.08282953469120082
19,ROZ,1120.3784818490326,1.0142914760713742,194.42730133597146,0.07707184664413429
20,IIE,1264.217736652266,0.24268818248512364,149.62590010137365,0.035492072151345276
21,IIE,1880.6700595764992,0.24546212395263084,121.14443964511781,0.028123276780418555
21,MOG,1889.1252867260341,0.35222108229067717,137.91344572301222,0.02498548883967971
22,EJF,1499.593496299499,0.29286946179494777,176.14421339876998,0.021816729301098958
22,IIE,1075.8457293835008,0.3840204303648954,190.84289398680804,0.03954320561376281
22,ROZ,1117.720044831174,0.3885476331918364,157.1819284698106,0.03338485881722107
23,ROZ,1478.7011605970022,0.47066850269583155,146.54343774067857,0.07048326070298712
